00001John Smith         050000.50
00002Jane Doe           060500.75
00003Alice Johnson      072000.00
00004Robert Brown       048750.25
00005Emily Davis        055000.10
00006Michael Wilson     060300.80
00007Sarah Johnson      062500.90
00008Chris Martin       053000.40
00009David Lee          047500.35
00010Sophia Taylor      051200.20
00011Daniel Harris      059900.65
00012Olivia Martinez    056000.00
00013Lucas Clark        061250.55
00014Isabella Lewis     049800.15
00015Mason Walker       070100.00
00016Mia Young          063500.95
00017James Scott        045000.00
00018Ava Adams          052750.60
00019Benjamin Baker     065300.45
00020Charlotte Wright   058600.25
00021Ethan Perez        057200.80
00022Abigail Torres     050300.70
00023Logan Rivera       054800.90
00024Ella Flores        063700.30
00025Alexander Hall     049900.00
